header	source	subtype	strain	num_repeats	segment
seal|H3N8|A/harbor_seal/Massachusetts/1/2011|2011-09-	seal	H3N8	A/harbor_seal/Massachusetts/1/2011	seal query	seg-5
seal|H3N3|A/seal/Massachusetts/3911/1992|1992--	seal	H3N3	A/seal/Massachusetts/3911/1992	seal query	seg-5
seal|H3N3|A/seal/Massachusetts/3911/1992|1992--	seal	H3N3	A/seal/Massachusetts/3911/1992	seal query	seg-7
seal|H7N7|A/seal/Massachusetts/1/1980|1980--	seal	H7N7	A/seal/Massachusetts/1/1980	seal query	seg-7
seal|H1N1|A/Elephant_seal/California/1/2010|2010-05-	seal	H1N1	A/Elephant_seal/California/1/2010	seal query	seg-7
seal|H10N7|A/harbor_seal/NL/PV14-221_Ts/2015|2015-01-12	seal	H10N7	A/harbor_seal/NL/PV14-221_Ts/2015	seal query	seg-7
seal|H10N7|A/Seal/Sweden/SVA0546/2014|2014-04-16	seal	H10N7	A/Seal/Sweden/SVA0546/2014	seal query	seg-7
seal|H3N8|A/grey_seal/England/027661/2017|2017-02-19	seal	H3N8	A/grey_seal/England/027661/2017	seal query	seg-7
seal|H1N1|A/elephant_seal/California/2/2010|2010-04-	seal	H1N1	A/elephant_seal/California/2/2010	seal query	seg-7
seal|H4N6|A/Caspian_seal/Russia/T1/2012|2012-10-03	seal	H4N6	A/Caspian_seal/Russia/T1/2012	seal query	seg-7
seal|H10N7|A/harbour_seal/Germany/1/2014|2014-10-07	seal	H10N7	A/harbour_seal/Germany/1/2014	seal query	seg-7
seal|H3N8|A/harbor_seal/New_Hampshire/179629/2011|2011-09-29	seal	H3N8	A/harbor_seal/New_Hampshire/179629/2011	seal query	seg-7
seal|H3N8|A/harbor_seal/Massachusetts/1/2011|2011-09-	seal	H3N8	A/harbor_seal/Massachusetts/1/2011	seal query	seg-7
seal|H4N5|A/seal/Massachussetts/133/1982|1982--	seal	H4N5	A/seal/Massachussetts/133/1982	seal query	seg-7
seal|H1N1|A/elephant_seal/California/2/2010|2010-04-	seal	H1N1	A/elephant_seal/California/2/2010	seal query	seg-8
seal|H10N7|A/Seal/Sweden/SVA0546/2014|2014-04-16	seal	H10N7	A/Seal/Sweden/SVA0546/2014	seal query	seg-8
seal|H3N8|A/harbor_seal/Massachusetts/1/2011|2011-09-	seal	H3N8	A/harbor_seal/Massachusetts/1/2011	seal query	seg-8
seal|H10N7|A/harbor_seal/NL/PV14-221_Ts/2015|2015-01-12	seal	H10N7	A/harbor_seal/NL/PV14-221_Ts/2015	seal query	seg-8
seal|H3N3|A/seal/Massachusetts/3911/1992|1992--	seal	H3N3	A/seal/Massachusetts/3911/1992	seal query	seg-8
seal|H1N1|A/Elephant_seal/California/1/2010|2010-05-	seal	H1N1	A/Elephant_seal/California/1/2010	seal query	seg-8
seal|H7N7|A/seal/Massachusetts/1/1980|1980--	seal	H7N7	A/seal/Massachusetts/1/1980	seal query	seg-8
seal|H4N6|A/Caspian_seal/Russia/T1/2012|2012-10-03	seal	H4N6	A/Caspian_seal/Russia/T1/2012	seal query	seg-8
seal|H10N7|A/harbour_seal/Germany/1/2014|2014-10-07	seal	H10N7	A/harbour_seal/Germany/1/2014	seal query	seg-8
seal|H3N8|A/harbor_seal/New_Hampshire/179629/2011|2011-09-29	seal	H3N8	A/harbor_seal/New_Hampshire/179629/2011	seal query	seg-8
seal|H4N5|A/seal/Massachussetts/133/1982|1982--	seal	H4N5	A/seal/Massachussetts/133/1982	seal query	seg-8
seal|H3N8|A/grey_seal/England/027661/2017|2017-02-19	seal	H3N8	A/grey_seal/England/027661/2017	seal query	seg-8
blasthit|H4N6|A/American_black_duck/New_Brunswick/03511/2009|2009-09-10	blasthit	H4N6	A/American_black_duck/New_Brunswick/03511/2009	6	seg-1
blasthit|H4N6|A/American_black_duck/New_Brunswick/03511/2009|2009-09-10	blasthit	H4N6	A/American_black_duck/New_Brunswick/03511/2009	6	seg-2
blasthit|H4N6|A/American_black_duck/New_Brunswick/03511/2009|2009-09-10	blasthit	H4N6	A/American_black_duck/New_Brunswick/03511/2009	6	seg-3
blasthit|H4N6|A/American_black_duck/New_Brunswick/03511/2009|2009-09-10	blasthit	H4N6	A/American_black_duck/New_Brunswick/03511/2009	6	seg-5
blasthit|H4N6|A/American_black_duck/New_Brunswick/03511/2009|2009-09-10	blasthit	H4N6	A/American_black_duck/New_Brunswick/03511/2009	6	seg-7
blasthit|H4N6|A/American_black_duck/New_Brunswick/03511/2009|2009-09-10	blasthit	H4N6	A/American_black_duck/New_Brunswick/03511/2009	6	seg-8
blasthit|H10N7|A/mallard_duck/Netherlands/1/2014|2014-02-17	blasthit	H10N7	A/mallard_duck/Netherlands/1/2014	4	seg-1
blasthit|H6N8|A/mallard_duck/Netherlands/15/2011|2011-09-14	blasthit	H6N8	A/mallard_duck/Netherlands/15/2011	4	seg-1
blasthit|H6N8|A/white_fronted_goose/Netherlands/5/2011|2011-12-14	blasthit	H6N8	A/white_fronted_goose/Netherlands/5/2011	4	seg-1
blasthit|H6N8|A/greater_white_fronted_goose/Netherlands/6/2011|2011-12-14	blasthit	H6N8	A/greater_white_fronted_goose/Netherlands/6/2011	4	seg-1
blasthit|H11N9|A/mallard_duck/Netherlands/23/2012|2012-09-27	blasthit	H11N9	A/mallard_duck/Netherlands/23/2012	4	seg-1
blasthit|H3N8|A/Eurasian_teal/Netherlands/1/2011|2011-10-15	blasthit	H3N8	A/Eurasian_teal/Netherlands/1/2011	4	seg-1
blasthit|H6N8|A/mallard_duck/Netherlands/20/2011|2011-09-24	blasthit	H6N8	A/mallard_duck/Netherlands/20/2011	4	seg-1
blasthit|H6N8|A/white_fronted_goose/Netherlands/5/2011|2011-12-14	blasthit	H6N8	A/white_fronted_goose/Netherlands/5/2011	4	seg-2
