header	source	subtype	strain	num_repeats	segment
blasthit|H2N9|A/pintail/Alberta/293/1977|1977-09-03	blasthit	H2N9	A/pintail/Alberta/293/1977	2	seg-2
blasthit|H1N1|A/Vermont/01/2010|2010-02-04	blasthit	H1N1	A/Vermont/01/2010	2	seg-2
blasthit|H6N8|A/mallard/Wisconsin/1918/1983|1983--	blasthit	H6N8	A/mallard/Wisconsin/1918/1983	2	seg-2
blasthit|H1N1|A/Wisconsin/629_D01749/2009|2009-10-09	blasthit	H1N1	A/Wisconsin/629_D01749/2009	2	seg-2
blasthit|H12N5|A/mallard/Wisconsin/1834/1983|1983--	blasthit	H12N5	A/mallard/Wisconsin/1834/1983	2	seg-2
blasthit|H2N1|A/ruddy_turnstone/Delaware_Bay/81/1993|1993-05-15	blasthit	H2N1	A/ruddy_turnstone/Delaware_Bay/81/1993	2	seg-2
blasthit|H3N8|A/mallard/Wisconsin/2117/1984|1984--	blasthit	H3N8	A/mallard/Wisconsin/2117/1984	2	seg-2
blasthit|H2N1|A/ruddy_turnstone/Delaware/34/1993|1993-05-15	blasthit	H2N1	A/ruddy_turnstone/Delaware/34/1993	2	seg-2
blasthit|H3N8|A/mallard/Wisconsin/2084/1984|1984--	blasthit	H3N8	A/mallard/Wisconsin/2084/1984	2	seg-2
blasthit|H5N6|A/mallard_duck/Netherlands/52/2015|2015-09-16	blasthit	H5N6	A/mallard_duck/Netherlands/52/2015	2	seg-2
blasthit|H1N1|A/California/VRDL113/2009|2009-11-24	blasthit	H1N1	A/California/VRDL113/2009	2	seg-2
blasthit|H4N6|A/Canada_goose/Alaska/44308_044/2007|2007-05-19	blasthit	H4N6	A/Canada_goose/Alaska/44308_044/2007	2	seg-2
blasthit|H1N1|A/San_Diego/INS65/2009|2009-10-28	blasthit	H1N1	A/San_Diego/INS65/2009	2	seg-2
blasthit|H4N6|A/blue_winged_teal/Texas/Sg_00081/2007|2007-09-15	blasthit	H4N6	A/blue_winged_teal/Texas/Sg_00081/2007	2	seg-2
blasthit|H10N7|A/mallard_duck/Netherlands/32/2013|2013-08-05	blasthit	H10N7	A/mallard_duck/Netherlands/32/2013	2	seg-2
blasthit|H5N2|A/chicken/Pennsylvania/7659/1985|1985--	blasthit	H5N2	A/chicken/Pennsylvania/7659/1985	2	seg-3
blasthit|H1N1|A/San_Diego/INS49/2009|2009-11-05	blasthit	H1N1	A/San_Diego/INS49/2009	2	seg-3
blasthit|H6N1|A/mallard_duck/Georgia/7/2015|2015-10-10	blasthit	H6N1	A/mallard_duck/Georgia/7/2015	2	seg-3
blasthit|H3N8|A/Mallard/Netherlands/8/2013|2013-10-08	blasthit	H3N8	A/Mallard/Netherlands/8/2013	2	seg-3
blasthit|H4N3|A/mallard/Alberta/300/1977|1977-08-30	blasthit	H4N3	A/mallard/Alberta/300/1977	2	seg-3
blasthit|H7N7|A/mallard_duck/Netherlands/13/2013|2013-12-10	blasthit	H7N7	A/mallard_duck/Netherlands/13/2013	2	seg-3
blasthit|H3N2|A/mallard_duck/Netherlands/51/2008|2008-10-08	blasthit	H3N2	A/mallard_duck/Netherlands/51/2008	2	seg-3
blasthit|H2N1|A/ruddy_turnstone/Delaware_Bay/81/1993|1993-05-15	blasthit	H2N1	A/ruddy_turnstone/Delaware_Bay/81/1993	2	seg-3
blasthit|H1N2|A/mallard_duck/New_York/170/1982|1982-12-01	blasthit	H1N2	A/mallard_duck/New_York/170/1982	2	seg-3
blasthit|H6N8|A/turkey/Minnesota/501/1978|1978-11-01	blasthit	H6N8	A/turkey/Minnesota/501/1978	2	seg-3
blasthit|H5N2|A/mallard/Wisconsin/411/1981|1981--	blasthit	H5N2	A/mallard/Wisconsin/411/1981	2	seg-3
blasthit|H11N9|A/mallard/Wisconsin/1854/1983|1983--	blasthit	H11N9	A/mallard/Wisconsin/1854/1983	2	seg-3
blasthit|H10N7|A/mallard_duck/Netherlands/1/2007|2007-03-26	blasthit	H10N7	A/mallard_duck/Netherlands/1/2007	2	seg-3
blasthit|H10N7|A/mallard_duck/Netherlands/33/2014|2014-12-16	blasthit	H10N7	A/mallard_duck/Netherlands/33/2014	2	seg-3
blasthit|H2N1|A/ruddy_turnstone/Delaware/34/1993|1993-05-15	blasthit	H2N1	A/ruddy_turnstone/Delaware/34/1993	2	seg-3
blasthit|H4N6|A/mallard_duck/Netherlands/24/2013|2013-09-16	blasthit	H4N6	A/mallard_duck/Netherlands/24/2013	2	seg-3
blasthit|H7N3|A/turkey/Minnesota/1138/1980|1980--	blasthit	H7N3	A/turkey/Minnesota/1138/1980	2	seg-3
blasthit|H4N8|A/mallard_duck/ALB/210/1977|1977-08-30	blasthit	H4N8	A/mallard_duck/ALB/210/1977	2	seg-3
blasthit|H4N8|A/pintail_duck/ALB/220/1977|1977-09-02	blasthit	H4N8	A/pintail_duck/ALB/220/1977	2	seg-3
blasthit|H1N1|A/greater_white_fronted_goose/Netherlands/1/2012|2012-11-20	blasthit	H1N1	A/greater_white_fronted_goose/Netherlands/1/2012	2	seg-3
blasthit|H6N9|A/mallard_duck/ALB/1151/1979|1979-08-22	blasthit	H6N9	A/mallard_duck/ALB/1151/1979	2	seg-3
blasthit|H1N1|A/mallard_duck/Georgia/11/2011|2011-01-22	blasthit	H1N1	A/mallard_duck/Georgia/11/2011	2	seg-3
blasthit|H12N5|A/mallard/Wisconsin/317/1981|1981--	blasthit	H12N5	A/mallard/Wisconsin/317/1981	2	seg-3
blasthit|H4N6|A/mallard/Ohio/129/1989|1989--	blasthit	H4N6	A/mallard/Ohio/129/1989	2	seg-3
blasthit|H1N1|A/California/VRDL23/2009|2009-06-29	blasthit	H1N1	A/California/VRDL23/2009	2	seg-3
blasthit|H2N3|A/mallard/New_York/66861/1978|1978--	blasthit	H2N3	A/mallard/New_York/66861/1978	2	seg-5
blasthit|H1N1|A/greater_white_fronted_goose/Netherlands/1/2012|2012-11-20	blasthit	H1N1	A/greater_white_fronted_goose/Netherlands/1/2012	2	seg-5
blasthit|H10N7|A/mallard_duck/Netherlands/32/2013|2013-08-05	blasthit	H10N7	A/mallard_duck/Netherlands/32/2013	2	seg-5
blasthit|H6N9|A/duck/Minnesota/1/1975|1975--	blasthit	H6N9	A/duck/Minnesota/1/1975	2	seg-5
blasthit|H5N6|A/mallard_duck/Netherlands/52/2015|2015-09-16	blasthit	H5N6	A/mallard_duck/Netherlands/52/2015	2	seg-5
blasthit|H1N1|A/California/VRDL23/2009|2009-06-29	blasthit	H1N1	A/California/VRDL23/2009	2	seg-5
blasthit|H1N1|A/greater_white_fronted_goose/Netherlands/4/2011|2011-01-17	blasthit	H1N1	A/greater_white_fronted_goose/Netherlands/4/2011	2	seg-5
blasthit|H1N1|A/Wisconsin/629_D01749/2009|2009-10-09	blasthit	H1N1	A/Wisconsin/629_D01749/2009	2	seg-5
blasthit|H3N8|A/turnstone/Netherlands/1/2010|2010-10-09	blasthit	H3N8	A/turnstone/Netherlands/1/2010	2	seg-5
blasthit|H5N1|A/duck/Minnesota/1525/1981|1981-10-17	blasthit	H5N1	A/duck/Minnesota/1525/1981	2	seg-5
blasthit|H6N8|A/greater_white_fronted_goose/Netherlands/4/2006|2006-01-27	blasthit	H6N8	A/greater_white_fronted_goose/Netherlands/4/2006	2	seg-5
blasthit|H2N3|A/mallard_duck/New_York/66861/1978|1978-08-01	blasthit	H2N3	A/mallard_duck/New_York/66861/1978	2	seg-5
blasthit|H7N3|A/blue_winged_teal/Louisiana/A00637297/2009|2009-01-22	blasthit	H7N3	A/blue_winged_teal/Louisiana/A00637297/2009	2	seg-5
blasthit|H11N9|A/mallard/Wisconsin/1854/1983|1983--	blasthit	H11N9	A/mallard/Wisconsin/1854/1983	2	seg-5
blasthit|H5N2|A/chicken/Pennsylvania/7659/1985|1985--	blasthit	H5N2	A/chicken/Pennsylvania/7659/1985	2	seg-5
blasthit|H5N2|A/mallard/Wisconsin/411/1981|1981--	blasthit	H5N2	A/mallard/Wisconsin/411/1981	2	seg-5
blasthit|H6N1|A/duck/Minnesota/2/1975|1975--	blasthit	H6N1	A/duck/Minnesota/2/1975	2	seg-5
blasthit|mixed|A/mallard_duck/Netherlands/11/2015|2015-06-05	blasthit	mixed	A/mallard_duck/Netherlands/11/2015	2	seg-5
blasthit|H7N3|A/mallard/Wisconsin/223/1979|1979--	blasthit	H7N3	A/mallard/Wisconsin/223/1979	2	seg-5
blasthit|H9N2|A/goose/MN/5733_1/1980|1980-01-01	blasthit	H9N2	A/goose/MN/5733_1/1980	2	seg-5
blasthit|H1N1|A/mallard_duck/Netherlands/26/2014|2014-09-15	blasthit	H1N1	A/mallard_duck/Netherlands/26/2014	2	seg-5
blasthit|H4N6|A/mallard_duck/Netherlands/27/2009|2009-12-21	blasthit	H4N6	A/mallard_duck/Netherlands/27/2009	2	seg-5
blasthit|H4N6|A/mallard_duck/Netherlands/21/2014|2014-08-26	blasthit	H4N6	A/mallard_duck/Netherlands/21/2014	2	seg-5
blasthit|H3N2|A/mallard/Ohio/424/1988|1988--	blasthit	H3N2	A/mallard/Ohio/424/1988	2	seg-5
blasthit|H4N2|A/mallard/Wisconsin/94/1976|1976--	blasthit	H4N2	A/mallard/Wisconsin/94/1976	2	seg-5
blasthit|H3N2|A/mallard_duck/Netherlands/51/2008|2008-10-08	blasthit	H3N2	A/mallard_duck/Netherlands/51/2008	2	seg-5
blasthit|H4N6|A/Canada_goose/Alaska/44308_044/2007|2007-05-19	blasthit	H4N6	A/Canada_goose/Alaska/44308_044/2007	2	seg-7
blasthit|H7N3|A/mallard_duck/Netherlands/24/2014|2014-09-30	blasthit	H7N3	A/mallard_duck/Netherlands/24/2014	2	seg-7
blasthit|H12N5|A/mallard/Wisconsin/1834/1983|1983--	blasthit	H12N5	A/mallard/Wisconsin/1834/1983	2	seg-7
blasthit|H4N6|A/mallard/Ohio/129/1989|1989--	blasthit	H4N6	A/mallard/Ohio/129/1989	2	seg-7
blasthit|H4N6|A/mallard/Wisconsin/2304/1984|1984--	blasthit	H4N6	A/mallard/Wisconsin/2304/1984	2	seg-7
blasthit|H12N5|A/mallard/Wisconsin/317/1981|1981--	blasthit	H12N5	A/mallard/Wisconsin/317/1981	2	seg-7
blasthit|H10N7|A/ruddy_turnstone/New_Jersey/146/1990|1990-05-26	blasthit	H10N7	A/ruddy_turnstone/New_Jersey/146/1990	2	seg-7
blasthit|H3N8|A/mallard/Wisconsin/2084/1984|1984--	blasthit	H3N8	A/mallard/Wisconsin/2084/1984	2	seg-7
blasthit|H3N8|A/mallard/Wisconsin/2090/1984|1984--	blasthit	H3N8	A/mallard/Wisconsin/2090/1984	2	seg-7
blasthit|H3N2|A/mallard_duck/Netherlands/34/2010|2010-10-08	blasthit	H3N2	A/mallard_duck/Netherlands/34/2010	2	seg-7
blasthit|H6N8|A/greater_white_fronted_goose/Netherlands/4/2006|2006-01-27	blasthit	H6N8	A/greater_white_fronted_goose/Netherlands/4/2006	2	seg-7
blasthit|H6N2|A/mallard_duck/Netherlands/9/2014|2014-10-28	blasthit	H6N2	A/mallard_duck/Netherlands/9/2014	2	seg-7
blasthit|H7N3|A/mallard/Wisconsin/223/1979|1979--	blasthit	H7N3	A/mallard/Wisconsin/223/1979	2	seg-7
blasthit|H4N6|A/mallard_duck/Netherlands/24/2013|2013-09-16	blasthit	H4N6	A/mallard_duck/Netherlands/24/2013	2	seg-7
blasthit|H10N7|A/mallard_duck/Netherlands/1/2007|2007-03-26	blasthit	H10N7	A/mallard_duck/Netherlands/1/2007	2	seg-7
blasthit|H4N2|A/mallard/Wisconsin/94/1976|1976--	blasthit	H4N2	A/mallard/Wisconsin/94/1976	2	seg-7
blasthit|H1N1|A/Zhejiang_Yiwu/11/2009|2009-09-06	blasthit	H1N1	A/Zhejiang_Yiwu/11/2009	2	seg-7
blasthit|H6N1|A/mallard_duck/Netherlands/10/2012|2012-09-05	blasthit	H6N1	A/mallard_duck/Netherlands/10/2012	2	seg-7
blasthit|H12N5|A/duck/Wisconsin/2680/1985|1985--	blasthit	H12N5	A/duck/Wisconsin/2680/1985	2	seg-7
blasthit|H6N5|A/mallard/Alberta/203/1992|1992-08-24	blasthit	H6N5	A/mallard/Alberta/203/1992	2	seg-7
blasthit|H3N8|A/mallard_duck/Netherlands/34/2006|2006-09-11	blasthit	H3N8	A/mallard_duck/Netherlands/34/2006	2	seg-7
blasthit|H6N8|A/mallard/Wisconsin/1918/1983|1983--	blasthit	H6N8	A/mallard/Wisconsin/1918/1983	2	seg-7
blasthit|H1N1|A/Zhejiang/DTID_ZJU02/2009|2009-09-07	blasthit	H1N1	A/Zhejiang/DTID_ZJU02/2009	2	seg-7
blasthit|mixed|A/mallard/Netherlands/25/2013|2013-04-08	blasthit	mixed	A/mallard/Netherlands/25/2013	2	seg-7
blasthit|H6N8|A/mallard_duck/Netherlands/40/2006|2006-09-16	blasthit	H6N8	A/mallard_duck/Netherlands/40/2006	2	seg-7
blasthit|H3N8|A/mallard/Wisconsin/2117/1984|1984--	blasthit	H3N8	A/mallard/Wisconsin/2117/1984	2	seg-7
blasthit|N1|A/Viet_Nam/001_1016/2009|2009-11-04	blasthit	N1	A/Viet_Nam/001_1016/2009	2	seg-7
blasthit|H9N2|A/goose/MN/5733_1/1980|1980-01-01	blasthit	H9N2	A/goose/MN/5733_1/1980	2	seg-7
blasthit|H2N9|A/mallard_duck/Netherlands/14/2014|2014-08-27	blasthit	H2N9	A/mallard_duck/Netherlands/14/2014	2	seg-8
blasthit|mixed|A/mallard_duck/Netherlands/11/2015|2015-06-05	blasthit	mixed	A/mallard_duck/Netherlands/11/2015	2	seg-8
blasthit|H3N2|A/mallard_duck/Netherlands/34/2010|2010-10-08	blasthit	H3N2	A/mallard_duck/Netherlands/34/2010	2	seg-8
blasthit|N1|A/Viet_Nam/001_1016/2009|2009-11-04	blasthit	N1	A/Viet_Nam/001_1016/2009	2	seg-8
blasthit|H12N5|A/duck/Wisconsin/2680/1985|1985--	blasthit	H12N5	A/duck/Wisconsin/2680/1985	2	seg-8
blasthit|H4N6|A/blue_winged_teal/Texas/Sg_00081/2007|2007-09-15	blasthit	H4N6	A/blue_winged_teal/Texas/Sg_00081/2007	2	seg-8
blasthit|H1N1|A/greater_white_fronted_goose/Netherlands/4/2011|2011-01-17	blasthit	H1N1	A/greater_white_fronted_goose/Netherlands/4/2011	2	seg-8
blasthit|H6N8|A/turkey/Minnesota/501/1978|1978-11-01	blasthit	H6N8	A/turkey/Minnesota/501/1978	2	seg-8
blasthit|H4N6|A/mallard_duck/Netherlands/27/2009|2009-12-21	blasthit	H4N6	A/mallard_duck/Netherlands/27/2009	2	seg-8
blasthit|H3N5|A/mallard/Alberta/663/1979|1979-08-13	blasthit	H3N5	A/mallard/Alberta/663/1979	2	seg-8
blasthit|H6N1|A/mallard/Wisconsin/557/1976|1976--	blasthit	H6N1	A/mallard/Wisconsin/557/1976	2	seg-8
blasthit|H2N3|A/mallard/Alberta/77/1977|1977-08-08	blasthit	H2N3	A/mallard/Alberta/77/1977	2	seg-8
blasthit|H2N3|A/mallard_duck/New_York/66861/1978|1978-08-01	blasthit	H2N3	A/mallard_duck/New_York/66861/1978	2	seg-8
blasthit|H6N2|A/mallard_duck/Netherlands/9/2014|2014-10-28	blasthit	H6N2	A/mallard_duck/Netherlands/9/2014	2	seg-8
blasthit|H1N1|A/Zhejiang/DTID_ZJU02/2009|2009-09-07	blasthit	H1N1	A/Zhejiang/DTID_ZJU02/2009	2	seg-8
blasthit|H2N3|A/mallard/New_York/66861/1978|1978--	blasthit	H2N3	A/mallard/New_York/66861/1978	2	seg-8
blasthit|mixed|A/mallard/Netherlands/25/2013|2013-04-08	blasthit	mixed	A/mallard/Netherlands/25/2013	2	seg-8
blasthit|H1N1|A/Zhejiang_Yiwu/11/2009|2009-09-06	blasthit	H1N1	A/Zhejiang_Yiwu/11/2009	2	seg-8
blasthit|H3N8|A/turnstone/Netherlands/1/2010|2010-10-09	blasthit	H3N8	A/turnstone/Netherlands/1/2010	2	seg-8
blasthit|H3N3|A/mallard_duck/ALB/712/1978|1978-08-15	blasthit	H3N3	A/mallard_duck/ALB/712/1978	2	seg-8
blasthit|H6N9|A/mallard_duck/ALB/1151/1979|1979-08-22	blasthit	H6N9	A/mallard_duck/ALB/1151/1979	2	seg-8
blasthit|H3N8|A/mallard_duck/Netherlands/34/2006|2006-09-11	blasthit	H3N8	A/mallard_duck/Netherlands/34/2006	2	seg-8
blasthit|H7N3|A/turkey/Minnesota/1138/1980|1980--	blasthit	H7N3	A/turkey/Minnesota/1138/1980	2	seg-8
blasthit|H7N3|A/blue_winged_teal/Louisiana/A00637297/2009|2009-01-22	blasthit	H7N3	A/blue_winged_teal/Louisiana/A00637297/2009	2	seg-8
blasthit|H3N3|A/mallard/ALB/394/1988|1988-09-04	blasthit	H3N3	A/mallard/ALB/394/1988	1	seg-1
blasthit|H11N9|A/mallard/Wisconsin/633/1979|1979--	blasthit	H11N9	A/mallard/Wisconsin/633/1979	1	seg-1
blasthit|H6N2|A/pintail/Ohio/294/1988|1988-10-13	blasthit	H6N2	A/pintail/Ohio/294/1988	1	seg-1
blasthit|H1N1|A/Tennessee/F1035/2010|2010-01-19	blasthit	H1N1	A/Tennessee/F1035/2010	1	seg-1
blasthit|H4N6|A/mallard_duck/Netherlands/10/2013|2013-12-04	blasthit	H4N6	A/mallard_duck/Netherlands/10/2013	1	seg-1
blasthit|H6N2|A/mallard/Wisconsin/15/1974|1974--	blasthit	H6N2	A/mallard/Wisconsin/15/1974	1	seg-1
blasthit|H7N7|A/mallard_duck/Netherlands/2/2015|2015-01-16	blasthit	H7N7	A/mallard_duck/Netherlands/2/2015	1	seg-1
blasthit|H1N1|A/Managua/5295.02/2009|2009-07-23	blasthit	H1N1	A/Managua/5295.02/2009	1	seg-1
blasthit|H6N1|A/blue_winged_teal/Wisconsin/340/1976|1976--	blasthit	H6N1	A/blue_winged_teal/Wisconsin/340/1976	1	seg-1
blasthit|H6N2|A/mallard/Netherlands/71/2006|2006--	blasthit	H6N2	A/mallard/Netherlands/71/2006	1	seg-1
blasthit|H5N9|A/mallard/California/8834/2008|2008-10-19	blasthit	H5N9	A/mallard/California/8834/2008	1	seg-1
blasthit|H4N6|A/mallard/Alberta/254/2006|2006-08-09	blasthit	H4N6	A/mallard/Alberta/254/2006	1	seg-1
blasthit|H1N1|A/bean_goose/Netherlands/1/2007|2007-01-15	blasthit	H1N1	A/bean_goose/Netherlands/1/2007	1	seg-1
blasthit|H10N7|A/mallard/Sweden/59463/2007|2007-08-27	blasthit	H10N7	A/mallard/Sweden/59463/2007	1	seg-1
blasthit|H4N1|A/duck/Alberta/26/1976|1976--	blasthit	H4N1	A/duck/Alberta/26/1976	1	seg-1
blasthit|H6N8|A/mallard_duck/ALB/761/1978|1978-08-25	blasthit	H6N8	A/mallard_duck/ALB/761/1978	1	seg-1
blasthit|mixed|A/mallard/Ohio/556/1987|1987-11-20	blasthit	mixed	A/mallard/Ohio/556/1987	1	seg-1
blasthit|H11N9|A/mallard/Wisconsin/10/1975|1975--	blasthit	H11N9	A/mallard/Wisconsin/10/1975	1	seg-1
blasthit|H7N7|A/mallard_duck/Netherlands/3/2015|2015-01-24	blasthit	H7N7	A/mallard_duck/Netherlands/3/2015	1	seg-1
blasthit|H3N8|A/northern_shoveler/Ohio/454/1987|1987--	blasthit	H3N8	A/northern_shoveler/Ohio/454/1987	1	seg-1
blasthit|H5N2|A/mallard/Sweden/58705/2006|2006-11-08	blasthit	H5N2	A/mallard/Sweden/58705/2006	1	seg-1
blasthit|H7N9|A/turkey/Minnesota/1/1988|1988-07-13	blasthit	H7N9	A/turkey/Minnesota/1/1988	1	seg-1
blasthit|H3N1|A/mallard_duck/ALB/26/1976|1976-08-11	blasthit	H3N1	A/mallard_duck/ALB/26/1976	1	seg-1
blasthit|H3N8|A/pintail/Ohio/454/1987|1987-10-23	blasthit	H3N8	A/pintail/Ohio/454/1987	1	seg-1
blasthit|H4N6|A/mallard/Alberta/121/2008|2008-08-06	blasthit	H4N6	A/mallard/Alberta/121/2008	1	seg-1
blasthit|H5N2|A/mallard_duck/Netherlands/32/2011|2011-10-20	blasthit	H5N2	A/mallard_duck/Netherlands/32/2011	1	seg-1
blasthit|H4N8|A/mallard/Alberta/209/1977|1977--	blasthit	H4N8	A/mallard/Alberta/209/1977	1	seg-1
blasthit|H2N3|A/mallard/Netherlands/12/2008|2008--	blasthit	H2N3	A/mallard/Netherlands/12/2008	1	seg-1
blasthit|H6N3|A/mallard/Alberta/207/1990|1990-08-28	blasthit	H6N3	A/mallard/Alberta/207/1990	1	seg-1
blasthit|H4N6|A/mallard/Alberta/160/2007|2007-08-22	blasthit	H4N6	A/mallard/Alberta/160/2007	1	seg-1
blasthit|H7N2|A/chicken/NY/13142_5/1994|1994--	blasthit	H7N2	A/chicken/NY/13142_5/1994	1	seg-1
blasthit|H6N3|A/mallard/Alberta/257/1990|1990-08-29	blasthit	H6N3	A/mallard/Alberta/257/1990	1	seg-1
blasthit|H4N6|A/mallard/Alberta/246/2006|2006-08-09	blasthit	H4N6	A/mallard/Alberta/246/2006	1	seg-1
blasthit|mixed|A/mallard/Alberta/106/2007_mixed_|2007-08-22	blasthit	mixed	A/mallard/Alberta/106/2007_mixed_	1	seg-1
blasthit|H4N6|A/mallard/Alberta/258/2006|2006-08-09	blasthit	H4N6	A/mallard/Alberta/258/2006	1	seg-1
blasthit|H6N5|A/mallard/Czech_Republic/14924_1/2007|2007-09-24	blasthit	H6N5	A/mallard/Czech_Republic/14924_1/2007	1	seg-1
blasthit|H3N8|A/duck/Alberta/16/1976|1976--	blasthit	H3N8	A/duck/Alberta/16/1976	1	seg-1
blasthit|H6N2|A/mallard_duck/Netherlands/11/2014|2014-11-22	blasthit	H6N2	A/mallard_duck/Netherlands/11/2014	1	seg-1
blasthit|H1N1|A/Wisconsin/629_S1425/2009|2009-10-27	blasthit	H1N1	A/Wisconsin/629_S1425/2009	1	seg-1
blasthit|H3N8|A/pintail/Ohio/339/1987|1987-10-19	blasthit	H3N8	A/pintail/Ohio/339/1987	1	seg-1
blasthit|H6N3|A/mallard_duck/ALB/155/1990|1990-08-04	blasthit	H6N3	A/mallard_duck/ALB/155/1990	1	seg-1
blasthit|mixed|A/mallard/Alberta/115/2007_mixed_|2007-08-22	blasthit	mixed	A/mallard/Alberta/115/2007_mixed_	1	seg-1
blasthit|H1N9|A/northern_shoveler/California/9140/2008|2008-11-19	blasthit	H1N9	A/northern_shoveler/California/9140/2008	1	seg-1
blasthit|H1N1|A/mallard_duck/Netherlands/23/2014|2014-09-15	blasthit	H1N1	A/mallard_duck/Netherlands/23/2014	1	seg-1
blasthit|H7N7|A/Italy/3/2013|2013-09-07	blasthit	H7N7	A/Italy/3/2013	1	seg-1
blasthit|mixed|A/mallard/Wisconsin/685/1976|1976--	blasthit	mixed	A/mallard/Wisconsin/685/1976	1	seg-1
blasthit|mixed|A/mallard/Alberta/156/2007_mixed_|2007-08-22	blasthit	mixed	A/mallard/Alberta/156/2007_mixed_	1	seg-1
blasthit|H4N8|A/mallard/Wisconsin/473/1976|1976--	blasthit	H4N8	A/mallard/Wisconsin/473/1976	1	seg-1
blasthit|H11N2|A/widgeon/Alabama/1278/1975|1975--	blasthit	H11N2	A/widgeon/Alabama/1278/1975	1	seg-1
blasthit|H1N3|A/mallard/Alberta/76/2006|2006-07-26	blasthit	H1N3	A/mallard/Alberta/76/2006	1	seg-1
blasthit|H4N2|A/mallard/Netherlands/7/2007|2007--	blasthit	H4N2	A/mallard/Netherlands/7/2007	1	seg-1
blasthit|H6N3|A/mallard_duck/ALB/253/1990|1990-08-29	blasthit	H6N3	A/mallard_duck/ALB/253/1990	1	seg-1
blasthit|H5N2|A/mallard/Italy/4223_2/2006|2006-11-11	blasthit	H5N2	A/mallard/Italy/4223_2/2006	1	seg-1
blasthit|mixed|A/mallard/Sweden/58463/2006|2006-11-05	blasthit	mixed	A/mallard/Sweden/58463/2006	1	seg-1
blasthit|H1N1|A/Texas/45072273/2009|2009-09-07	blasthit	H1N1	A/Texas/45072273/2009	1	seg-1
blasthit|H5N2|A/northern_shoveler/Washington/44249_645/2006|2006-11-04	blasthit	H5N2	A/northern_shoveler/Washington/44249_645/2006	1	seg-1
blasthit|mixed|A/mallard/Alberta/11513/2005|2005-08-03	blasthit	mixed	A/mallard/Alberta/11513/2005	1	seg-1
blasthit|H2N9|A/mallard/Sweden/103/2005|2005--	blasthit	H2N9	A/mallard/Sweden/103/2005	1	seg-1
blasthit|H9N1|A/mallard/Wisconsin/24/1974|1974--	blasthit	H9N1	A/mallard/Wisconsin/24/1974	1	seg-1
blasthit|H12N5|A/gadwall/Wisconsin/13/1975|1975--	blasthit	H12N5	A/gadwall/Wisconsin/13/1975	1	seg-1
blasthit|H6N5|A/duck/Minnesota/33/1975|1975--	blasthit	H6N5	A/duck/Minnesota/33/1975	1	seg-1
blasthit|H6N3|A/pintail/Alberta/145/1990|1990-08-27	blasthit	H6N3	A/pintail/Alberta/145/1990	1	seg-1
blasthit|H4N6|A/blue_winged_teal/Wisconsin/19/1974|1974--	blasthit	H4N6	A/blue_winged_teal/Wisconsin/19/1974	1	seg-1
blasthit|H2N9|A/mallard_duck/Netherlands/16/2014|2014-08-29	blasthit	H2N9	A/mallard_duck/Netherlands/16/2014	1	seg-1
blasthit|H1N1|A/New_York/3211/2009|2009-04-28	blasthit	H1N1	A/New_York/3211/2009	1	seg-1
blasthit|H1N1|A/San_Diego/INS62/2009|2009-10-21	blasthit	H1N1	A/San_Diego/INS62/2009	1	seg-1
blasthit|H6N2|A/mallard_duck/Netherlands/7/2014|2014-10-01	blasthit	H6N2	A/mallard_duck/Netherlands/7/2014	1	seg-1
blasthit|H6N1|A/widgeon/Wisconsin/69/1978|1978--	blasthit	H6N1	A/widgeon/Wisconsin/69/1978	1	seg-2
blasthit|H4N6|A/bewicks_swan/Netherlands/3/2007|2007-12-06	blasthit	H4N6	A/bewicks_swan/Netherlands/3/2007	1	seg-2
blasthit|H4N2|A/mallard/Wisconsin/619/1983|1983--	blasthit	H4N2	A/mallard/Wisconsin/619/1983	1	seg-2
blasthit|H3N8|A/widgeon/Wisconsin/541/1976|1976--	blasthit	H3N8	A/widgeon/Wisconsin/541/1976	1	seg-2
blasthit|H4N2|A/mallard/Wisconsin/373/1981|1981--	blasthit	H4N2	A/mallard/Wisconsin/373/1981	1	seg-2
blasthit|H3N8|A/duck/Mongolia/395/2011|2011-09-01	blasthit	H3N8	A/duck/Mongolia/395/2011	1	seg-2
blasthit|H4N6|A/duck/Hong_Kong/365/1978|1978--	blasthit	H4N6	A/duck/Hong_Kong/365/1978	1	seg-2
blasthit|H3N6|A/semi_palmated_sandpiper/New_Jersey/253/1990|1990-05-27	blasthit	H3N6	A/semi_palmated_sandpiper/New_Jersey/253/1990	1	seg-2
blasthit|H3N8|A/duck/Mongolia/394/2011|2011-09-01	blasthit	H3N8	A/duck/Mongolia/394/2011	1	seg-2
blasthit|H11N9|A/mallard/Minnesota/Sg_00198/2007|2007-09-22	blasthit	H11N9	A/mallard/Minnesota/Sg_00198/2007	1	seg-2
blasthit|H9N2|A/duck/Hong_Kong/702/1979_quail_adapted|1979--	blasthit	H9N2	A/duck/Hong_Kong/702/1979_quail_adapted	1	seg-2
blasthit|H4N6|A/blue_winged_teal/Minnesota/Sg_00038/2007|2007-08-03	blasthit	H4N6	A/blue_winged_teal/Minnesota/Sg_00038/2007	1	seg-2
blasthit|H1N1|A/New_York/7036/2009|2009-12-16	blasthit	H1N1	A/New_York/7036/2009	1	seg-2
blasthit|H3N8|A/mallard/Wisconsin/409/1981|1981--	blasthit	H3N8	A/mallard/Wisconsin/409/1981	1	seg-2
